date,product_name,category,quantity,price,total_amount,region,payment_method,conversion
2025-01-15,Куртка зимняя,Одежда,1,12000,12000,Москва,Карта,0.045
2025-01-16,Платье весеннее,Одежда,2,5500,11000,Санкт-Петербург,Карта,0.052
2025-01-17,Свитер шерстяной,Одежда,1,8500,8500,Москва,Наличные,0.038
2025-01-18,Куртка зимняя,Одежда,3,12000,36000,Казань,Карта,0.061
2025-01-19,Рубашка офисная,Одежда,2,4200,8400,Москва,Карта,0.042
2025-01-20,Джинсы классические,Одежда,1,6800,6800,Ростов-на-Дону,Наличные,0.055
2025-02-01,Платье весеннее,Одежда,4,5500,22000,Санкт-Петербург,Карта,0.048
2025-02-02,Футболка хлопковая,Одежда,5,2200,11000,Москва,Карта,0.067
2025-02-03,Свитер шерстяной,Одежда,2,8500,17000,Казань,Наличные,0.041
2025-02-04,Шорты джинсовые,Одежда,3,3500,10500,Ростов-на-Дону,Карта,0.059
2025-03-01,Куртка весенняя,Одежда,2,9500,19000,Москва,Карта,0.053
2025-03-02,Платье вечернее,Одежда,1,15000,15000,Санкт-Петербург,Карта,0.039
2025-03-03,Блуза шёлковая,Одежда,3,7200,21600,Москва,Наличные,0.047
2025-03-04,Юбка классическая,Одежда,2,5800,11600,Казань,Карта,0.044
2025-03-05,Пальто демисезонное,Одежда,1,18500,18500,Ростов-на-Дону,Карта,0.036
